customer_id,age,gender,location,employment_status,credit_score,annual_income,account_balance,loan_amount,loan_status
10059,66,Female,Paris,Retired,654,58000,6000,7000,Rejected
10060,46,Female,Rome,Student,672,80000,7000,1000,Rejected
10061,49,Female,Madrid,Retired,809,44000,1000,20000,Approved
10062,30,Male,Berlin,Employed,651,60000,4000,14000,Rejected
10063,20,Female,Rome,Student,846,55000,1000,17000,Approved
10064,64,Female,Berlin,Student,748,46000,6000,0,Rejected
10065,43,Female,Rome,Employed,796,97000,4000,4000,Approved
10066,23,Male,Paris,Student,815,33000,3000,20000,Rejected
10067,75,Female,Rome,Retired,750,85000,2000,14000,Rejected
10068,21,Male,Madrid,Employed,671,95000,4000,0,Approved
10069,46,Male,Paris,Retired,829,57000,3000,13000,Approved
10070,25,Female,Paris,Student,625,38000,8000,3000,Rejected
10071,73,Female,Madrid,Employed,817,64000,9000,9000,Approved
10072,71,Male,Berlin,Student,639,46000,3000,16000,Rejected
10073,62,Male,Madrid,Employed,660,42000,8000,20000,Approved
10074,62,Male,Berlin,Retired,605,85000,10000,7000,Approved
10075,23,Female,Paris,Retired,620,77000,7000,7000,Approved
10076,75,Female,Berlin,Employed,674,68000,3000,5000,Rejected
10077,42,Female,Berlin,Retired,713,84000,5000,3000,Approved
10078,54,Male,Berlin,Retired,690,32000,1000,4000,Approved
10079,36,Male,Madrid,Retired,728,84000,8000,19000,Approved
10080,43,Female,Paris,Student,808,58000,9000,4000,Rejected
10081,36,Male,London,Employed,720,89000,4000,1000,Approved
10082,69,Male,Berlin,Employed,735,52000,4000,2000,Rejected
10083,50,Female,Madrid,Retired,685,37000,6000,4000,Approved
10084,21,Female,Rome,Student,745,77000,1000,0,Approved
10085,28,Male,Berlin,Employed,645,40000,5000,7000,Approved
10086,75,Female,Berlin,Retired,805,34000,1000,19000,Approved
10087,70,Female,Rome,Employed,849,61000,7000,20000,Rejected
10088,69,Male,Rome,Employed,649,50000,9000,11000,Rejected
10089,31,Female,Rome,Employed,660,34000,7000,15000,Approved
10090,53,Male,Madrid,Employed,848,43000,1000,10000,Rejected
10091,26,Male,Paris,Student,606,40000,6000,9000,Approved
10092,34,Male,Paris,Student,671,84000,4000,16000,Rejected
10093,59,Male,Paris,Retired,745,42000,10000,7000,Approved
10094,26,Female,London,Retired,646,34000,1000,8000,Rejected
10095,67,Male,Madrid,Retired,662,80000,6000,12000,Rejected
10096,26,Female,Madrid,Employed,685,94000,6000,16000,Rejected
10097,31,Male,Madrid,Retired,743,56000,7000,0,Rejected
10098,21,Male,London,Employed,836,77000,2000,11000,Rejected
10099,46,Male,London,Employed,654,47000,10000,5000,Approved
